Greater White-fronted Goose (<em class="sci">Anser albifrons</em>)	0.0013815	0.0010892	5.889E-4	4.372E-4	0.0011542	0.0049662	0.0075041	0.0222141	0.0389849	0.050467	0.042434	0.0242713	0.0146604	0.0067069	0.0038501	0.0017101	5.072E-4	3.689E-4	2.913E-4	1.398E-4	4.25E-5	6.61E-5	0.0	1.94E-5	0.0015	1.033E-4	7.76E-5	5.69E-5	0.0	0.0	4.05E-5	5.67E-5	3.56E-5	3.015E-4	1.522E-4	4.465E-4	4.809E-4	0.0017623	0.0021359	0.0025452	0.0041283	0.0017841	0.0020944	0.0033746	0.0017874	0.0010088	9.297E-4	9.055E-4	
Snow x Greater White-fronted Goose (hybrid) (<em class="sci">Anser caerulescens x albifrons</em>)	0.0	0.0	0.0	0.0	0.0	3.08E-5	0.0	0.0	2.541E-4	4.96E-5	7.24E-5	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ross's x Greater White-fronted Goose (hybrid) (<em class="sci">Anser rossii x albifrons</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	7.024E-4	7.379E-4	5.521E-4	8.745E-4	0.0012311	8.02E-4	8.674E-4	6.29E-4	0.0012139	7.68E-4	7.0E-4	5.583E-4	2.306E-4	3.049E-4	2.515E-4	5.327E-4	4.367E-4	4.452E-4	2.146E-4	3.076E-4	2.973E-4	1.762E-4	9.24E-5	3.89E-5	3.218E-4	3.099E-4	1.94E-4	2.558E-4	2.482E-4	4.18E-5	2.023E-4	3.402E-4	2.139E-4	2.638E-4	1.522E-4	1.191E-4	1.48E-4	3.75E-4	6.102E-4	1.157E-4	1.18E-4	4.46E-4	3.258E-4	5.443E-4	3.865E-4	4.585E-4	3.933E-4	4.245E-4	
Brant (<em class="sci">Branta bernicla</em>)	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	3.31E-5	0.0015	4.96E-5	0.0	2.627E-4	6.149E-4	1.715E-4	5.8E-5	0.0015	0.0015	2.54E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	9.544E-4	0.0014154	0.0013827	8.843E-4	9.071E-4	0.0011594	4.127E-4	4.649E-4	3.679E-4	
Barnacle Goose (<em class="sci">Branta leucopsis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.41E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	0.003442	0.0026703	0.0014354	0.0010931	0.001385	0.0030846	0.0044379	0.0094352	0.0167401	0.0219756	0.0216032	0.0163068	0.0106446	0.0062878	0.0043338	0.0011915	2.254E-4	1.526E-4	4.6E-5	4.19E-5	2.12E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5E-5	1.069E-4	0.0015074	0.004376	0.0085424	0.0100244	0.0124484	0.0128151	0.0142878	0.0157663	0.0132917	0.0128921	0.0128089	0.0090817	0.0084827	0.0057927	0.0044144	
Snow x Cackling Goose (hybrid) (<em class="sci">Anser caerulescens x Branta hutchinsii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31E-5	0.0	0.0	0.0	1.64E-5	1.92E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.239557	0.2090931	0.1717703	0.1680103	0.1883657	0.178198	0.185948	0.3220221	0.4594343	0.523524	0.5521012	0.544626	0.5407244	0.5235028	0.5056397	0.48709	0.450579	0.4151042	0.3996474	0.3590263	0.2295458	0.1557729	0.1184937	0.0975245	0.1027113	0.131095	0.161771	0.1935245	0.2105002	0.2108099	0.2127393	0.2069562	0.2835092	0.350505	0.3901446	0.4150966	0.3964267	0.3781777	0.3688546	0.3564425	0.357199	0.3483051	0.3402215	0.3427193	0.3123038	0.2927232	0.2816277	0.2379241	
Swan Goose x Canada Goose (hybrid) (<em class="sci">Anser cygnoides x Branta canadensis</em>)	7.02E-5	0.0	0.0	2.73E-5	0.0	0.0	0.0	0.0	0.0	2.48E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.63E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted x Canada Goose (hybrid) (<em class="sci">Anser albifrons x Branta canadensis</em>)	2.34E-5	3.51E-5	7.36E-5	5.47E-5	1.154E-4	0.0	8.07E-5	3.31E-5	5.65E-5	0.0	0.0	0.0	0.0	0.0	0.0	1.4E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	3.93E-5	4.46E-5	0.0	0.0	0.0	9.17E-5	1.43E-4	2.83E-5	
Graylag x Canada Goose (hybrid) (<em class="sci">Anser anser x Branta canadensis</em>)	2.34E-5	3.51E-5	3.68E-5	2.73E-5	3.85E-5	0.0	2.02E-5	3.31E-5	2.82E-5	0.0	2.41E-5	0.0	0.0	3.81E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.18E-5	8.09E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.63E-5	0.0	3.93E-5	4.46E-5	0.0015	1.089E-4	9.66E-5	9.17E-5	3.58E-5	0.0015	
Domestic goose sp. x Canada Goose (hybrid) (<em class="sci">Anser sp. (Domestic type) x Branta canadensis</em>)	1.639E-4	1.757E-4	3.68E-5	5.47E-5	7.69E-5	0.0	0.0	0.0	2.82E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.35E-5	0.0	0.0	0.0	3.77E-5	0.0	1.191E-4	1.48E-4	2.625E-4	1.144E-4	1.446E-4	1.18E-4	2.23E-4	3.258E-4	1.814E-4	3.381E-4	2.751E-4	6.079E-4	3.113E-4	
Snow x Canada Goose (hybrid) (<em class="sci">Anser caerulescens x Branta canadensis</em>)	2.34E-5	0.0	0.0	0.0	0.0	0.0	2.02E-5	6.62E-5	3.388E-4	4.96E-5	1.207E-4	1.971E-4	1.537E-4	1.334E-4	2.902E-4	9.81E-5	1.127E-4	5.09E-5	4.6E-5	5.59E-5	2.12E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	2.98E-5	3.7E-5	2.25E-4	2.67E-4	1.446E-4	7.86E-5	4.46E-5	0.0	0.0	0.0	0.0	0.0	5.66E-5	
Cackling/Canada Goose (<em class="sci">Branta hutchinsii/canadensis</em>)	6.556E-4	7.027E-4	4.049E-4	4.372E-4	1.924E-4	4.318E-4	0.0011095	9.27E-4	0.0012703	0.0011892	0.0018827	0.0010674	0.0010568	0.0010289	7.932E-4	3.364E-4	1.41E-5	2.54E-5	1.53E-5	0.0	0.0	0.0	0.0	0.0	2.68E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.782E-4	2.638E-4	0.0011035	7.739E-4	6.658E-4	8.999E-4	9.916E-4	9.255E-4	9.436E-4	7.583E-4	0.0015359	0.00254	0.0014975	0.001238	0.0012158	0.0014149	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.0051981	0.0058677	0.0051159	0.004591	0.0062327	0.0058608	0.0043774	0.0067205	0.007509	0.0071848	0.0074585	0.006388	0.0047267	0.0037536	0.0033471	0.0029997	0.0026486	0.0031165	0.0035566	0.0032157	0.0021659	0.0021149	0.0017558	0.0014779	0.0013141	0.0014807	0.0014745	0.0016203	0.0018204	0.0019214	0.0014568	0.0013323	0.0016755	0.002035	0.0024734	0.0030955	0.0046608	0.0035996	0.0032801	0.0039913	0.0044822	0.0049955	0.003863	0.0046083	0.0042993	0.0043101	0.0045412	0.0048671	
Black Swan (<em class="sci">Cygnus atratus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.53E-5	8.27E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Trumpeter Swan (<em class="sci">Cygnus buccinator</em>)	0.013206	0.0117354	0.0108208	0.0134725	0.0186211	0.0165952	0.0160773	0.0330067	0.0448848	0.0488071	0.0489271	0.0435668	0.0416947	0.0382219	0.0365663	0.0364312	0.029585	0.0310377	0.0313813	0.0371903	0.0312361	0.0254224	0.0223634	0.0175991	0.01778	0.0194904	0.0224283	0.0250149	0.0278019	0.0345015	0.0359759	0.028573	0.0252032	0.0239298	0.0282725	0.0263416	0.0275949	0.0316835	0.0340211	0.0287202	0.0268931	0.0227475	0.021037	0.0185783	0.013381	0.0128387	0.0120861	0.0119415	
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.0315632	0.0209409	0.012845	0.0120242	0.0115035	0.011629	0.0102273	0.0232404	0.03986	0.0574041	0.0710613	0.0619098	0.0463637	0.0199112	0.0091899	0.0034062	0.0011834	7.887E-4	7.359E-4	4.474E-4	2.12E-5	6.61E-5	2.31E-5	3.89E-5	2.68E-5	6.89E-5	1.164E-4	2.84E-5	4.14E-5	1.671E-4	0.0	2.83E-5	3.56E-5	3.77E-5	7.61E-5	2.084E-4	3.699E-4	0.0020247	0.0068271	0.019436	0.0319258	0.0466994	0.0510565	0.0538118	0.0564224	0.0474116	0.0371165	0.0286369	
Trumpeter/Tundra Swan (<em class="sci">Cygnus buccinator/columbianus</em>)	0.0017795	0.0017919	0.0011778	0.0012297	0.0012311	0.0013881	0.0022795	0.0041714	0.0063799	0.0062681	0.0069517	0.0053206	0.0037468	0.0033535	0.0024958	0.0014298	0.0012398	8.141E-4	3.373E-4	3.076E-4	8.49E-5	1.101E-4	9.24E-5	0.0015	1.341E-4	1.033E-4	7.76E-5	2.274E-4	4.14E-5	1.253E-4	2.023E-4	2.835E-4	1.426E-4	1.131E-4	3.044E-4	2.381E-4	6.288E-4	5.999E-4	0.0018689	0.0029501	0.0047181	0.0042819	0.0047473	0.0050437	0.0033332	0.0031638	0.0021097	0.0026882	
Whooper Swan (<em class="sci">Cygnus cygnus</em>)	0.0010068	0.0	1.472E-4	0.0	0.0	3.08E-5	0.0	1.324E-4	0.0	2.48E-5	0.0	8.21E-5	2.114E-4	1.91E-5	0.0015	1.4E-5	2.82E-5	5.09E-5	1.226E-4	1.398E-4	1.486E-4	2.2E-5	0.0	0.0	2.68E-5	0.0	7.76E-5	0.0	0.0	0.0	4.05E-5	2.83E-5	0.0	7.54E-5	2.283E-4	1.786E-4	3.7E-5	7.5E-5	2.288E-4	2.603E-4	0.0	4.46E-5	4.65E-5	0.0	0.0	0.0	0.0	1.981E-4	
swan sp. (<em class="sci">Cygnus sp.</em>)	7.961E-4	3.162E-4	3.312E-4	4.099E-4	8.079E-4	8.945E-4	0.00117	0.0011587	0.002089	0.0014122	0.0014483	0.0011495	8.646E-4	8.003E-4	6.965E-4	7.99E-4	5.494E-4	4.707E-4	3.986E-4	3.635E-4	1.911E-4	1.542E-4	1.155E-4	2.528E-4	1.341E-4	1.722E-4	1.164E-4	1.706E-4	2.069E-4	3.759E-4	2.833E-4	2.268E-4	1.069E-4	3.768E-4	2.283E-4	2.679E-4	5.549E-4	4.874E-4	5.34E-4	8.098E-4	6.291E-4	0.0011151	0.0012101	9.797E-4	7.246E-4	0.0012839	6.079E-4	4.245E-4	
goose sp. (<em class="sci">Anatidae (goose sp.)</em>)	3.044E-4	3.162E-4	1.84E-4	1.366E-4	5.002E-4	4.318E-4	6.859E-4	9.601E-4	0.0010445	0.0011397	6.759E-4	4.105E-4	1.921E-4	2.096E-4	2.902E-4	3.364E-4	4.508E-4	3.562E-4	4.446E-4	3.775E-4	1.274E-4	6.61E-5	6.93E-5	9.72E-5	5.36E-5	1.377E-4	1.552E-4	1.706E-4	2.069E-4	2.924E-4	2.833E-4	2.268E-4	1.782E-4	1.131E-4	2.283E-4	2.976E-4	2.589E-4	4.124E-4	3.433E-4	4.049E-4	3.145E-4	2.676E-4	2.793E-4	2.177E-4	1.932E-4	6.878E-4	3.933E-4	3.679E-4	
Egyptian Goose (<em class="sci">Alopochen aegyptiaca</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
